time_s,pc0,pc1,pc2,pc3,i0,v0,i1,v1,i2,v2,i3,v3,i4,v4,i5,v5,i6,v6
73.816726,0,0,0,0,0.888095,5.017376,0.010449,1.583830,0.006612,1.511076,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
73.816814,0,0,0,0,0.886650,5.028115,0.010449,1.581522,0.006612,1.514149,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
73.816902,0,0,0,0,0.888095,5.025047,0.010449,1.579983,0.006612,1.514918,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
73.816990,0,0,0,0,0.882476,5.023513,0.010449,1.583830,0.006612,1.514918,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
73.817077,0,0,0,0,0.881031,5.028882,0.010449,1.582291,0.006612,1.513381,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
73.817165,0,0,0,0,0.875894,5.028115,0.010449,1.582291,0.006612,1.513381,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
73.817253,0,0,0,0,0.874610,5.030416,0.010449,1.583061,0.006612,1.513381,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
73.817341,0,0,0,0,0.870597,5.031183,0.010449,1.580752,0.006612,1.513381,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
73.817428,0,0,0,0,0.868028,5.034252,0.010449,1.580752,0.006612,1.513381,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
73.817516,0,0,0,0,0.866102,5.033485,0.010449,1.582291,0.006612,1.511076,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
73.817604,0,0,0,0,0.864176,5.036553,0.010449,1.582291,0.006612,1.511844,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
73.817692,0,0,0,0,0.863213,5.035786,0.010449,1.583061,0.006612,1.512613,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
73.817779,0,0,0,0,0.875573,5.033485,0.010449,1.582291,0.006612,1.513381,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
73.817867,0,0,0,0,0.848765,5.033485,0.010449,1.582291,0.006612,1.511076,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
73.817955,0,0,0,0,0.855347,5.032718,0.010449,1.580752,0.006612,1.511844,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
73.818043,0,0,0,0,0.879587,5.035786,0.010449,1.578444,0.006612,1.514149,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
73.818130,0,0,0,0,0.871400,5.026581,0.010449,1.582291,0.006612,1.513381,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
73.818218,0,0,0,0,0.866423,5.014307,0.010449,1.579983,0.006612,1.511076,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
73.818306,0,0,0,0,0.869473,5.013540,0.010449,1.582291,0.006612,1.512613,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
73.818394,0,0,0,0,0.865139,5.014307,0.010449,1.583061,0.006612,1.513381,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
73.818481,0,0,0,0,0.876697,5.008938,0.010449,1.583061,0.006612,1.511076,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
73.818569,0,0,0,0,0.885205,5.008938,0.010449,1.579213,0.006612,1.512613,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
73.818657,0,0,0,0,0.891626,5.005102,0.010449,1.580752,0.006612,1.514149,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
73.818745,0,0,0,0,0.900455,5.008171,0.010449,1.581522,0.006612,1.514918,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
73.818832,0,0,0,0,0.902863,5.008938,0.010449,1.583061,0.006612,1.511076,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
