Timestamp,FrameID,CameraFPS,CameraWidth,CameraHeight,CameraSize,AlgoInferenceMs,AlgoFPS,AlgoAvgProcMs,AlgoTotalProcMs,AlgoCudaKernelMs,AlgoDroppedFrames,AlgoGpuFree,AlgoGpuTotal,DisplayRenderMs,DisplayLatencyMs,ProcLatencyMs,DisplayLatencyMs,EndToEndLatencyMs,JoulesPerFrame,SoC_TotalRAM,SoC_UsedRAM,SoC_CPU1_Util,SoC_CPU2_Util,SoC_CPU3_Util,SoC_CPU4_Util,SoC_CPU1_Freq,SoC_CPU2_Freq,SoC_CPU3_Freq,SoC_CPU4_Freq,PowerSensor0_Power,PowerSensor0_Volt,PowerSensor0_Curr,PowerSensor1_Power,PowerSensor1_Volt,PowerSensor1_Curr,PowerSensor2_Power,PowerSensor2_Volt,PowerSensor2_Curr,PowerSensor3_Power,PowerSensor3_Volt,PowerSensor3_Curr
2026-05-17 19:18:49.680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,1217,97,100,0,0,921,921,0,0,4,4,4,0,0,0,0,0,0,0,0,0
2026-05-17 19:18:50.198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,1217,98,96,0,0,921,921,0,0,4,4,4,0,0,0,0,0,0,0,0,0
2026-05-17 19:18:50.698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,1221,100,100,0,0,921,921,0,0,4,4,4,0,0,0,0,0,0,0,0,0
2026-05-17 19:18:51.199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,1222,100,100,0,0,921,921,0,0,4,4,4,0,0,0,0,0,0,0,0,0
2026-05-17 19:18:51.701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,1223,100,100,0,0,921,921,0,0,4,4,4,0,0,0,0,0,0,0,0,0
2026-05-17 19:18:52.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,1223,100,98,0,0,921,921,0,0,4,4,4,0,0,0,0,0,0,0,0,0
2026-05-17 19:18:52.702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,1223,100,100,0,0,921,921,0,0,4,4,4,0,0,0,0,0,0,0,0,0
2026-05-17 19:18:53.202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,1223,100,100,0,0,921,921,0,0,4,4,4,0,0,0,0,0,0,0,0,0
2026-05-17 19:18:53.703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,1223,100,100,0,0,921,921,0,0,4,4,4,0,0,0,0,0,0,0,0,0
2026-05-17 19:18:54.203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,1224,100,100,0,0,921,921,0,0,4,4,4,0,0,0,0,0,0,0,0,0
2026-05-17 19:18:54.705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,1224,100,100,0,0,921,921,0,0,4,4,4,0,0,0,0,0,0,0,0,0
2026-05-17 19:18:55.210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,1224,100,100,0,0,921,921,0,0,4,4,4,0,0,0,0,0,0,0,0,0
2026-05-17 19:18:55.712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,1224,100,100,0,0,921,921,0,0,4,4,4,0,0,0,0,0,0,0,0,0
2026-05-17 19:18:56.214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,1224,100,100,0,0,921,921,0,0,4,4,4,0,0,0,0,0,0,0,0,0
2026-05-17 19:18:56.719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,1225,100,100,0,0,921,921,0,0,4,4,4,0,0,0,0,0,0,0,0,0
2026-05-17 19:18:57.220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,1224,100,100,0,0,921,921,0,0,4,4,4,0,0,0,0,0,0,0,0,0
2026-05-17 19:18:57.722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,1224,100,100,0,0,921,921,0,0,4,4,4,0,0,0,0,0,0,0,0,0
2026-05-17 19:18:58.224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,1224,100,100,0,0,921,921,0,0,4,4,4,0,0,0,0,0,0,0,0,0
2026-05-17 19:18:58.726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,1224,100,100,0,0,921,921,0,0,4,4,4,0,0,0,0,0,0,0,0,0
2026-05-17 19:18:59.227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,1224,100,100,0,0,921,921,0,0,4,4,4,0,0,0,0,0,0,0,0,0
2026-05-17 19:18:59.729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,1224,100,100,0,0,921,921,0,0,4,4,4,0,0,0,0,0,0,0,0,0
2026-05-17 19:19:00.231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,1224,100,100,0,0,921,921,0,0,4,4,4,0,0,0,0,0,0,0,0,0
2026-05-17 19:19:00.733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,1219,100,100,0,0,921,921,0,0,4,4,4,0,0,0,0,0,0,0,0,0
2026-05-17 19:19:01.237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,1219,100,100,0,0,921,921,0,0,4,4,4,0,0,0,0,0,0,0,0,0
2026-05-17 19:19:01.738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,1219,100,100,0,0,921,921,0,0,4,4,4,0,0,0,0,0,0,0,0,0
2026-05-17 19:19:02.240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,1219,100,100,0,0,921,921,0,0,4,4,4,0,0,0,0,0,0,0,0,0
